note_3_earnings_per_share,note_3_earnings_per_share_dup1,note_3_earnings_per_share_dup2,note_3_earnings_per_share_dup3,note_3_earnings_per_share_dup4,none,none_dup1
,,,,,,
,2025.0,2025.0,,,2024.0,2024.0
Numerators:,,,,,,
Net loss attributable to common stockholders,-12160.0,-12160.0,,,-5181.0,-5181.0
Denominator:,,,,,,
Weighted average common stock used in computing,,109494474.0,,,,69683943.0
Basis and diluted net loss per share (in each dollar),-0.11,-0.11,,,-0.07,-0.07
