note_3_earnings_per_share,note_3_earnings_per_share_dup1,note_3_earnings_per_share_dup2,note_3_earnings_per_share_dup3,note_3_earnings_per_share_dup4,none,none_dup1
,,,,,,
,2023.0,2023.0,,,2022.0,2022.0
Numerator:,,,,,,
Net loss attributable to common stockholders,-2748.0,-2748.0,,,-1202.0,-1202.0
Denominator:,,,,,,
Weighted average ordinary shares used in computing,,64309409.0,,,,62000846.0
Basic and diluted net loss per share (in each dollar),-0.04,-0.04,,,-0.02,-0.02
