disaggregation_of_revenue,disaggregation_of_revenue_dup1,disaggregation_of_revenue_dup2,disaggregation_of_revenue_dup3,disaggregation_of_revenue_dup4,none,none_dup1
,,,,,,
,2024.0,2024.0,,,2023.0,2023.0
Robotics,,,,,,
Product revenue,670.0,670.0,,,1623.0,1623.0
Service revenue,,899.0,,,,257.0
Leasing revenue,,489.0,,,,121.0
Total Robotics revenue,,2058.0,,,,2001.0
Smart hardware,,16.0,,,,1.0
Interactive system,,40.0,,,,52.0
Cloutea*,,158.0,,,,
"Total revenue, net",2272.0,2272.0,,,2054.0,2054.0
