disaggregation_of_revenue,disaggregation_of_revenue_dup1,disaggregation_of_revenue_dup2,disaggregation_of_revenue_dup3,disaggregation_of_revenue_dup4,none,none_dup1
,,,,,,
,2023.0,2023.0,,,2022.0,2022.0
Robotics,,,,,,
Product revenue,187.0,187.0,,,613.0,613.0
Service revenue,,799.0,,,,232.0
Leasing revenue,,13.0,,,,91.0
Total Robotics revenue,,999.0,,,,936.0
Smart hardware,,16.0,,,,1.0
Interactive system,,30.0,,,,9.0
Cloutea*,,61.0,,,,
"Total revenue, net",1106.0,1106.0,,,946.0,946.0
