note_3_earnings_per_share,note_3_earnings_per_share_dup1,note_3_earnings_per_share_dup2,note_3_earnings_per_share_dup3,note_3_earnings_per_share_dup4,none,none_dup1
,,,,,,
,2025.0,2025.0,,,2024.0,2024.0
Numerators:,,,,,,
Net loss attributable to common stockholders,-8088.0,-8088.0,,,-3868.0,-3868.0
Denominator:,,,,,,
Weighted Average ordinary shares used in computing,,103931521.0,,,,64309409.0
Basis and diluted net loss per share (in each dollar),-0.08,-0.08,,,-0.06,-0.06
