date,open,high,low,close,volume,date_str,daily_return,daily_volatility,sma_20,sma_50,volume_ma_20
2024-12-06,0.77,0.8358,0.7517,0.8058,3140636.0,2024-12-06,0.09261016949152534,0.07397616407533623,0.64042,,2624571.75
2024-12-09,0.845,1.05,0.84,0.9499,11578918.0,2024-12-09,0.17882849342268559,0.08222613725985983,0.6570349999999999,,3104974.25
2024-12-10,0.93,1.06,0.8559,0.8658,10135481.0,2024-12-10,-0.08853563533003472,0.08590014614109329,0.6681699999999999,,3531991.65
2024-12-11,0.91,0.9764,0.8074,0.8445,5650908.0,2024-12-11,-0.024601524601524538,0.0849284343193947,0.679915,,3762006.45
2024-12-12,0.85,0.8967,0.7302,0.7499,5135285.0,2024-12-12,-0.11201894612196572,0.08978818284964722,0.68711,0.6757500000000001,3968328.75
2024-12-13,0.7531,0.8585,0.7253,0.8453,5612296.0,2024-12-13,0.12721696226163504,0.09240223224617516,0.700115,0.6787860000000001,4187338.0
2024-12-16,0.9005,1.07,0.87,0.9714,15219273.0,2024-12-16,0.14917780669584757,0.09551594283917353,0.720435,0.6838719999999999,4838836.4
2024-12-17,1.1,1.43,1.08,1.23,35480095.0,2024-12-17,0.2662137121680048,0.10790699930429985,0.754325,0.6945320000000001,6542064.85
2024-12-18,1.49,1.68,1.12,1.24,38431770.0,2024-12-18,0.008130081300812941,0.10820428342825769,0.787825,0.706836,8388189.85
2024-12-19,1.49,1.54,1.13,1.15,24071081.0,2024-12-19,-0.07258064516129037,0.10837922057049364,0.818805,0.715638,9521946.15
2024-12-20,1.12,1.39,1.07,1.27,15077244.0,2024-12-20,0.10434782608695659,0.10894160611551844,0.85368,0.727216,10094268.5
2024-12-23,1.37,1.975,1.36,1.96,46858310.0,2024-12-23,0.5433070866141732,0.15575679457185282,0.9207850000000001,0.752726,12303371.35
2024-12-24,2.105,2.3099,1.74,1.95,27251452.0,2024-12-24,-0.005102040816326481,0.15633775985828471,0.986645,0.777784,13561918.65
2024-12-26,2.11,3.18,2.11,2.67,52327948.0,2024-12-26,0.36923076923076925,0.1677626615573247,1.0898400000000001,0.81688,16130929.65
2024-12-27,2.9,3.5,2.53,2.9,42237984.0,2024-12-27,0.08614232209737827,0.16776287385450367,1.20181,0.8607339999999999,18157309.45
2024-12-30,2.83,3.77,2.38,3.49,37516139.0,2024-12-30,0.20344827586206904,0.16962331728339372,1.33931,0.9162899999999999,19822973.7
2024-12-31,3.07,3.26,2.43,2.7,25062567.0,2024-12-31,-0.22636103151862463,0.1801982375350443,1.440325,0.95579,20776905.15
2025-01-02,2.83,2.98,2.36,2.41,18017828.0,2025-01-02,-0.1074074074074074,0.1842156795618809,1.527125,0.9895899999999999,21554874.25
2025-01-03,2.475,4.16,2.42,4.09,66961420.0,2025-01-03,0.697095435684647,0.22946760106700154,1.691505,1.058024,24541792.65
2025-01-06,4.83,5.2,3.87,4.11,77063036.0,2025-01-06,0.004889975550122383,0.22658602405741296,1.8601300000000003,1.1276739999999998,28141483.55
2025-01-07,3.98,4.6,3.7101,3.87,37084139.0,2025-01-07,-0.058394160583941646,0.22968024079945662,2.01334,1.192674,29838658.7
2025-01-08,3.52,3.52,2.8,3.16,32719959.0,2025-01-08,-0.18346253229974163,0.23746915879643055,2.123845,1.2432720000000002,30895710.75
