date,source_file_bs,total_assets,current_assets,total_liabilities,current_liabilities,stockholders_equity,cash,inventory,accounts_receivable,source_file_is,revenue,cogs,gross_profit,operating_expenses,operating_income,interest_expense,net_income,ebit,eps_basic,eps_diluted,depreciation_x,source_file,operating_cf,investing_cf,financing_cf,capex,depreciation_y,free_cash_flow,gross_margin,operating_margin,net_margin,ebitda,ebitda_margin,roe,roa,roic,current_ratio,quick_ratio,cash_ratio,debt_to_equity,debt_to_assets,interest_coverage,asset_turnover,inventory_turnover,year,quarter,year_quarter,revenue_qoq,revenue_yoy,net_income_qoq,net_income_yoy,gross_profit_qoq,gross_profit_yoy,operating_income_qoq,operating_income_yoy,operating_cf_qoq,operating_cf_yoy,free_cash_flow_qoq,free_cash_flow_yoy,total_assets_qoq,total_assets_yoy,stockholders_equity_qoq,stockholders_equity_yoy,revenue_ttm,net_income_ttm,operating_income_ttm,operating_cf_ttm,revenue_ma2q,revenue_ma4q,net_income_ma2q,net_income_ma4q,net_margin_ma2q,net_margin_ma4q,roe_ma2q,roe_ma4q,roa_ma2q,roa_ma4q
2024-01-11,10k_balance_sheet_20240111.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,1,2024-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-14,10q_balance_sheet_20240214.csv,7853.0,6982.0,3044.0,2890.0,4809.0,433.0,822.0,5576.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.415916955017301,2.131487889273356,0.14982698961937715,0.6329798294863797,0.38762256462498407,,,,2024,1,2024-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-15,10q_balance_sheet_20240515.csv,7853.0,6982.0,3044.0,2890.0,4809.0,433.0,822.0,5576.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.415916955017301,2.131487889273356,0.14982698961937715,0.6329798294863797,0.38762256462498407,,,,2024,2,2024-Q2,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,
2024-08-15,10q_balance_sheet_20240815.csv,7853.0,6982.0,3044.0,2890.0,4809.0,433.0,822.0,5576.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.415916955017301,2.131487889273356,0.14982698961937715,0.6329798294863797,0.38762256462498407,,,,2024,3,2024-Q3,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,
2025-02-14,10q_balance_sheet_20250214.csv,42651.0,33046.0,913.0,455.0,41738.0,14566.0,1148.0,1359.0,10q_income_statement_20250214.csv,1106.0,496.0,610.0,2872.0,-2262.0,-486.0,-2748.0,-2748.0,-0.04,-0.04,,10q_cash_flow_20250214.csv,-1209.0,-28.0,8339.0,-78.0,3.0,-1287.0,55.15370705244123,-204.52079566003616,-248.4629294755877,-2262.0,-204.52079566003616,-6.58392831472519,-6.442990785679116,-4.189772807202645,72.62857142857143,70.1054945054945,32.01318681318681,0.021874550769083328,0.021406297624909146,,0.025931396684720172,0.43205574912891986,2025,1,2025-Q1,,,,,,,,,,,,,443.1172800203743,,767.9143273029736,,1106.0,-2748.0,-2262.0,-1209.0,1106.0,1106.0,-2748.0,-2748.0,-248.4629294755877,-248.4629294755877,-6.58392831472519,-6.58392831472519,-6.442990785679116,-6.442990785679116
2025-05-14,,,,,,,,,,10q_income_statement_20250514.csv,1165.0,485.0,680.0,1626.0,-946.0,-174.0,-1120.0,-1120.0,-0.02,-0.02,,10q_cash_flow_20250514.csv,-2540.0,-37.0,10339.0,-116.0,3.0,-2656.0,58.36909871244635,-81.20171673819743,-96.13733905579399,-946.0,-81.20171673819743,,,,,,,,,,,,2025,2,2025-Q2,5.334538878842676,,-59.243085880640464,,11.475409836065564,,-58.17860300618921,,110.09098428453265,,106.37140637140638,,0.0,443.1172800203743,0.0,767.9143273029736,2271.0,-3868.0,-3208.0,-3749.0,1135.5,1135.5,-1934.0,-1934.0,-172.30013426569084,-172.30013426569084,-6.58392831472519,-6.58392831472519,-6.442990785679116,-6.442990785679116
2025-08-11,10q_balance_sheet_20250811.csv,42651.0,33046.0,913.0,455.0,41738.0,14566.0,1148.0,1359.0,10q_income_statement_20250811.csv,1443.0,429.0,1014.0,1909.0,-895.0,-101.0,-1313.0,-996.0,-0.02,-0.02,,10q_cash_flow_20250811.csv,-2121.0,135.0,10754.0,-4509.0,7.0,-6630.0,70.27027027027027,-62.02356202356203,-90.990990990991,-895.0,-62.02356202356203,-3.145814365805741,-3.078474127218588,-1.657757145201754,72.62857142857143,70.1054945054945,32.01318681318681,0.021874550769083328,0.021406297624909146,,0.03383273545755082,0.37369337979094075,2025,3,2025-Q3,23.862660944206016,,17.23214285714285,,49.117647058823536,,-5.391120507399583,,-16.49606299212598,,149.6234939759036,,0.0,443.1172800203743,0.0,767.9143273029736,3714.0,-5181.0,-4103.0,-5870.0,1304.0,1238.0,-1216.5,-1727.0,-93.56416502339249,-145.19708650745756,-3.145814365805741,-4.8648713402654655,-3.078474127218588,-4.760732456448852
