summary_compensation,summary_compensation_dup1,summary_compensation_dup2,none,none_dup1,none_dup2,none_dup3,none_dup4,none_dup5,none_dup6,none_dup7,none_dup8,none_dup9,none_dup10,none_dup11,none_dup12,none_dup13
"Name and Principal 
  Position","Year  
  (FY)","Year  
  (FY)","Salary  
  ($)","Salary  
  ($)","Bonus  
  ($)","Bonus  
  ($)","Option  
  Awards  
  ($)","Option  
  Awards  
  ($)","Non-Equity  
  Incentive  
  Plan  
  Compensation  
  ($)","Non-Equity  
  Incentive  
  Plan  
  Compensation  
  ($)","Nonqualified  
  Deferred  
  Compensation  
  Earnings  
  ($)","Nonqualified  
  Deferred  
  Compensation  
  Earnings  
  ($)","All Other  
  Compensation  
  ($)","All Other  
  Compensation  
  ($)","Total  
  ($)","Total  
  ($)"
Zhenwu (Wayne) Huang,,2023,,120016,,800,,—,,—,,—,,—,,120816
CEO,,2022,,69240,,4800,,—,,—,,—,,—,,74040
Zhenqiang (Michael) Huang,,2023,,50000,,—,,—,,—,,—,,—,,50000
CFO,,2022,,28846,,—,,—,,—,,—,,—,,28846
Phil Zheng,,2023,,104800,,15879,,—,,—,,—,,—,,120679
COO,,2022,,60000,,20452,,—,,—,,—,,—,,80452
