our_revenue_model,our_revenue_model_dup1,our_revenue_model_dup2,none,none_dup1
,,,,
Product Sale,,0.91,,0.617
Service Sale,,0.057,,0.31
Lease,,0.023,,0.073
Other,,0.01,,0.0
